iter	Passed	Remaining
473	666	739
474	666	737
475	667	735
476	668	733
477	669	731
478	671	730
479	673	730
480	674	728
481	675	726
482	676	724
483	677	722
484	678	720
485	679	718
486	680	717
487	681	715
488	682	713
489	683	711
490	684	709
491	687	709
492	689	708
493	690	706
494	691	705
495	692	703
496	693	701
497	693	699
498	694	697
499	695	695
500	696	693
501	697	691
502	698	690
503	701	690
504	703	689
505	705	688
506	706	686
507	707	685
508	709	684
509	710	682
510	711	681
511	712	679
512	713	677
513	718	679
514	721	679
515	722	677
516	723	675
517	724	673
518	725	672
519	725	670
520	726	668
521	727	666
522	728	664
523	730	663
524	731	661
525	732	659
526	732	657
527	733	655
528	735	654
529	736	652
530	737	651
531	738	649
532	739	647
533	740	646
534	741	644
535	743	643
536	744	642
537	745	640
538	746	638
539	749	638
540	750	636
541	751	635
542	752	633
543	753	631
544	754	629
545	755	628
546	756	626
547	758	625
548	759	623
549	759	621
550	760	619
551	761	618
552	762	616
553	763	614
554	773	620
555	778	621
556	779	620
557	780	618
558	787	621
559	790	620
560	791	619
561	793	618
562	795	617
563	796	615
564	797	613
565	798	612
566	799	610
567	800	608
568	802	607
569	806	608
570	807	606
571	808	605
572	810	603
573	811	602
574	814	602
575	815	600
576	816	598
577	817	596
578	818	594
579	819	593
580	819	591
581	820	589
582	821	587
583	822	585
584	823	583
585	823	581
586	824	580
587	825	578
588	826	576
589	827	575
590	829	574
591	831	572
592	832	571
593	833	569
594	834	567
595	835	566
596	836	564
597	837	562
598	838	561
599	838	559
600	840	558
601	842	557
602	843	555
603	844	553
604	845	552
605	846	550
606	847	548
607	848	547
608	849	545
609	850	543
610	851	542
611	852	540
612	855	539
613	857	539
614	859	537
615	860	536
616	860	534
617	861	532
618	862	531
619	863	529
620	865	528
621	868	527
622	869	526
623	871	525
624	872	523
625	873	521
626	874	520
627	875	518
628	876	517
629	877	515
630	878	513
631	879	512
632	882	511
633	885	511
634	887	509
635	887	508
636	888	506
637	889	504
638	890	503
639	891	501
640	892	499
641	893	498
642	894	496
643	896	495
644	897	494
645	899	492
646	899	490
647	901	489
648	902	488
649	903	486
650	904	485
651	906	483
652	906	481
653	907	480
654	908	478
655	910	477
656	913	476
657	915	475
658	916	474
659	917	472
660	918	471
661	919	469
662	920	467
663	921	466
664	922	464
665	925	464
666	926	462
667	927	461
668	928	459
669	930	458
670	931	456
671	932	455
672	933	453
673	934	452
674	935	450
675	936	448
676	939	448
677	940	446
678	941	445
679	943	444
680	944	442
681	945	440
682	946	439
683	947	437
684	948	435
685	948	434
686	949	432
687	950	431
688	951	429
689	953	428
690	954	426
691	955	425
692	956	423
693	958	422
694	959	420
695	960	419
696	960	417
697	961	416
698	962	414
699	963	412
700	964	411
701	965	409
702	966	408
703	967	406
704	968	405
705	969	403
706	970	402
707	971	400
708	972	399
709	973	397
710	974	396
711	975	394
712	976	393
713	977	391
714	978	389
715	979	388
716	980	387
717	982	385
718	983	384
719	985	383
720	986	381
721	987	380
722	988	378
723	989	377
724	990	375
725	991	374
726	992	372
727	992	370
728	993	369
729	995	368
730	998	367
731	999	365
732	1000	364
733	1001	363
734	1002	361
735	1003	359
736	1004	358
737	1005	356
738	1005	355
739	1006	353
740	1007	352
741	1008	350
742	1009	349
743	1011	347
744	1011	346
745	1012	344
746	1013	343
747	1014	341
748	1015	340
749	1015	338
750	1016	337
751	1017	335
752	1018	334
753	1019	332
754	1019	330
755	1020	329
756	1021	327
757	1022	326
758	1023	325
759	1025	323
760	1027	322
761	1027	321
762	1028	319
763	1029	318
764	1030	316
765	1031	315
766	1032	313
767	1033	312
768	1033	310
769	1034	309
770	1035	307
771	1036	306
772	1036	304
773	1038	303
774	1041	302
775	1042	301
776	1044	299
777	1044	298
778	1045	296
779	1046	295
780	1047	293
781	1048	292
782	1048	290
783	1049	289
784	1050	287
785	1051	286
786	1053	285
787	1054	283
788	1056	282
789	1057	281
790	1058	279
791	1059	278
792	1060	276
793	1061	275
794	1061	273
795	1062	272
796	1063	270
797	1064	269
798	1065	267
799	1066	266
800	1067	265
801	1069	263
802	1070	262
803	1070	261
804	1071	259
805	1072	258
806	1073	256
807	1074	255
808	1075	253
809	1076	252
810	1076	250
811	1077	249
812	1078	248
813	1079	246
814	1080	245
815	1081	243
816	1082	242
817	1084	241
818	1085	239
819	1086	238
820	1088	237
821	1088	235
822	1089	234
823	1090	232
824	1091	231
825	1092	230
826	1093	228
827	1094	227
828	1094	225
829	1096	224
830	1097	223
831	1098	221
832	1099	220
833	1100	219
834	1101	217
835	1102	216
836	1102	214
837	1103	213
838	1104	211
839	1105	210
840	1106	209
841	1107	207
842	1107	206
843	1108	204
844	1109	203
845	1111	202
846	1112	200
847	1114	199
848	1115	198
849	1116	197
850	1117	195
851	1118	194
852	1119	192
853	1120	191
854	1121	190
855	1122	188
856	1123	187
857	1124	186
858	1125	184
859	1126	183
860	1127	182
861	1128	180
862	1129	179
863	1130	177
864	1131	176
865	1132	175
866	1133	173
867	1134	172
868	1135	171
869	1136	169
870	1137	168
871	1139	167
872	1141	165
873	1142	164
874	1142	163
875	1143	161
876	1144	160
877	1146	159
878	1147	157
879	1147	156
880	1148	155
881	1149	153
882	1150	152
883	1152	151
884	1153	149
885	1155	148
886	1156	147
887	1157	146
888	1158	144
889	1159	143
890	1160	142
891	1161	140
892	1162	139
893	1163	137
894	1164	136
895	1165	135
896	1166	133
897	1168	132
898	1169	131
899	1171	130
900	1172	128
901	1174	127
902	1175	126
903	1176	124
904	1177	123
905	1178	122
906	1179	120
907	1181	119
908	1183	118
909	1184	117
910	1185	115
911	1186	114
912	1187	113
913	1188	111
914	1189	110
915	1189	109
916	1190	107
917	1191	106
918	1192	105
919	1194	103
920	1196	102
921	1198	101
922	1199	100
923	1200	98
924	1200	97
925	1201	96
926	1202	94
927	1203	93
928	1204	92
929	1205	90
930	1205	89
931	1206	88
932	1207	86
933	1208	85
934	1210	84
935	1212	82
936	1213	81
937	1214	80
938	1215	78
939	1216	77
940	1217	76
941	1218	75
942	1219	73
943	1220	72
944	1222	71
945	1224	69
946	1225	68
947	1226	67
948	1228	66
949	1229	64
950	1230	63
951	1231	62
952	1232	60
953	1233	59
954	1234	58
955	1235	56
956	1237	55
957	1238	54
